name,code,date,day,month,year
Bahrain,BHR,"December 16, 1971",16,12,1971
Qatar,QAT,"December 18, 1971",18,12,1971
Bahamas,BHS,"July 10, 1973",10,7,1973
Guinea-Bissau,GNB,"September 24, 1973",24,9,1973
Grenada,GRD,"February 7, 1974",7,2,1974
Mozambique,MOZ,"June 25, 1975",25,6,1975
Cabo Verde,CPV,"July 5, 1975",5,7,1975
Comoros,COM,"July 6, 1975",6,7,1975
Sao Tome and Principe,STP,"July 12, 1975",12,7,1975
Papua New Guinea,PNG,"September 16, 1975",16,9,1975
Angola,AGO,"November 11, 1975",11,11,1975
Suriname,SUR,"November 25, 1975",25,11,1975
Western Sahara,ESH,"February 27, 1976",27,2,1976
Seychelles,SYC,"June 29, 1976",29,6,1976
Djibouti,DJI,"June 27, 1977",27,6,1977
Solomon Islands,SLB,"July 7, 1978",7,7,1978
Tuvalu,TUV,"October 1, 1978",1,10,1978
Dominica,DMA,"November 3, 1978",3,11,1978
Saint Lucia,LCA,"February 22, 1979",22,2,1979
Kiribati,KIR,"July 12, 1979",12,7,1979
Saint Vincent and the Grenadines,VCT,"October 27, 1979",27,10,1979
Zimbabwe,ZWE,"April 18, 1980",18,4,1980
Vanuatu,VUT,"July 30, 1980",30,7,1980
Belize,BLZ,"September 21, 1981",21,9,1981
Antigua and Barbuda,ATG,"November 1, 1981",1,11,1981
Saint Kitts and Nevis,KNA,"September 19, 1983",19,9,1983
Norfolk Island,NFK,"October 15, 1983",15,10,1983
Virgin Islands (British),VGB,"January 1, 1984",1,1,1984
Lithuania,LTU,"March 11, 1990",11,3,1990
Namibia,NAM,"March 21, 1990",21,3,1990
Latvia,LVA,"May 4, 1990",4,5,1990
Slovenia,SVN,"December 26, 1990",26,12,1990
"Moldova, Republic of",MDA,"August 27, 1991",27,8,1991
Kyrgyzstan,KGZ,"August 31, 1991",31,8,1991
Uzbekistan,UZB,"September 1, 1991",1,9,1991
Macao,MAC,"September 8, 1991",8,9,1991
Tajikistan,TJK,"September 9, 1991",9,9,1991
Armenia,ARM,"September 21, 1991",21,9,1991
Croatia,HRV,"October 8, 1991",8,10,1991
